"Country,Year 2015,Year 2016,Year 2017,Year 2018,Year 2019,Year 2020,Year 2021,Year 2022 Forecast,Year 2023 Forecast,Year 2024 Forecast,Year 2025 Forecast,Year 2026 Forecast"
" Afghanistan , $705,60 , $617,13 , $635,79 , $582,32 , $586,20 , $611,27 , no data , no data , no data , no data , no data , no data "
" Lebanon , $7 663,88 , $7 653,69 , $7 819,59 , $8 058,46 , $7 639,10 , $2 784,82 , no data , no data , no data , no data , no data , no data "
" Pakistan , $1 422,92 , $1 436,37 , $1 544,17 , $1 557,89 , $1 352,72 , $1 254,86 , no data , no data , no data , no data , no data , no data "
" Syria , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data "
" Venezuela , $10 568,10 , $9 092,02 , $4 725,05 , $3 404,43 , $2 299,31 , $1 690,66 , $1 627,35 , $1 617,76 , no data , no data , no data , no data "
" Luxembourg , $102 624,73 , $105 364,03 , $108 621,94 , $117 859,72 , $115 838,95 , $116 921,11 , $131 301,60 , $137 947,81 , $144 013,31 , $149 736,40 , $155 059,54 , $160 140,74 "
" Ireland , $61 861,20 , $62 632,81 , $69 486,55 , $78 837,74 , $80 632,33 , $85 205,50 , $102 394,02 , $108 162,69 , $114 839,26 , $121 081,09 , $127 640,06 , $134 412,12 "
" Switzerland , $85 238,52 , $83 515,54 , $83 700,47 , $86 762,02 , $85 721,73 , $87 366,60 , $93 515,48 , $98 770,71 , $102 030,38 , $106 657,09 , $110 400,08 , $115 413,44 "
" Macao SAR , $69 666,75 , $69 910,52 , $77 257,33 , $82 862,88 , $81 156,61 , $35 621,46 , $42 106,56 , $59 113,56 , $75 353,68 , $87 687,89 , $92 654,97 , $97 329,24 "
" Norway , $74 115,16 , $70 223,82 , $75 306,67 , $82 082,12 , $75 700,22 , $67 326,07 , $82 244,23 , $84 119,22 , $86 429,97 , $88 167,22 , $89 679,84 , $91 231,21 "
" United States , $56 729,68 , $57 839,99 , $59 885,71 , $62 769,66 , $65 051,88 , $63 358,49 , $69 375,38 , $74 725,00 , $77 881,31 , $80 714,78 , $83 563,82 , $86 428,68 "
" Denmark , $53 478,50 , $54 862,85 , $57 772,55 , $61 724,49 , $59 861,61 , $61 153,92 , $67 919,59 , $70 769,47 , $74 314,29 , $78 079,21 , $81 950,18 , $85 818,70 "
" Iceland , $53 227,63 , $62 530,42 , $73 085,13 , $75 382,60 , $69 631,27 , $59 643,09 , $68 843,65 , $72 317,58 , $73 881,65 , $76 323,21 , $80 325,24 , $84 467,26 "
" Singapore , $55 645,61 , $56 846,27 , $61 175,44 , $66 675,77 , $65 641,31 , $59 794,60 , $66 263,42 , $69 129,04 , $72 492,13 , $75 869,29 , $79 169,49 , $82 521,65 "
" Australia , $51 484,64 , $51 915,24 , $55 915,00 , $56 460,90 , $54 476,91 , $52 905,40 , $62 618,59 , $64 895,02 , $67 842,29 , $70 479,93 , $73 061,70 , $75 670,28 "
" Sweden , $51 274,28 , $51 590,47 , $53 459,07 , $54 295,73 , $51 694,50 , $52 129,13 , $58 639,19 , $61 680,60 , $65 769,75 , $68 523,93 , $72 034,54 , $75 506,93 "
" Netherlands , $45 302,80 , $46 165,18 , $48 799,87 , $53 224,69 , $52 672,50 , $52 456,09 , $57 714,88 , $61 159,44 , $64 246,82 , $67 172,75 , $70 101,47 , $72 893,26 "
" Austria , $44 267,81 , $45 278,83 , $47 317,91 , $51 246,15 , $50 246,61 , $48 592,71 , $53 793,37 , $57 878,72 , $60 403,54 , $63 314,96 , $67 294,42 , $70 818,95 "
" Qatar , $66 346,91 , $57 965,38 , $59 127,51 , $66 421,69 , $62 817,06 , $54 184,97 , $61 790,57 , $64 768,01 , $65 466,92 , $67 109,34 , $68 739,54 , $70 733,99 "
" Finland , $42 867,09 , $43 865,76 , $46 437,21 , $50 033,31 , $48 716,22 , $48 786,03 , $53 522,57 , $56 832,60 , $59 545,36 , $62 432,40 , $65 676,15 , $68 389,28 "
" Advanced economies , $43 091,56 , $44 018,65 , $45 712,84 , $48 185,65 , $48 470,66 , $47 161,29 , $52 111,46 , $55 863,32 , $58 514,46 , $60 929,15 , $63 338,05 , $65 738,48 "
" Canada , $43 626,47 , $42 382,64 , $45 191,96 , $46 532,17 , $46 399,71 , $43 294,80 , $52 791,23 , $56 739,82 , $59 125,56 , $61 237,17 , $63 293,42 , $65 414,36 "
" Germany , $41 107,22 , $42 124,45 , $44 636,70 , $47 995,38 , $46 800,18 , $46 215,60 , $50 787,86 , $54 653,00 , $57 208,89 , $59 728,20 , $62 235,56 , $64 800,87 "
" Belgium , $41 147,26 , $42 076,40 , $44 274,07 , $47 718,41 , $46 555,09 , $44 688,46 , $50 412,71 , $53 452,46 , $55 938,77 , $58 206,32 , $60 422,10 , $62 570,41 "
" San Marino , $43 068,69 , $44 308,67 , $45 887,69 , $49 477,28 , $48 368,00 , $46 282,47 , $50 934,19 , $53 800,03 , $55 816,02 , $57 678,93 , $59 949,81 , $62 122,03 "
" Hong Kong SAR , $42 325,35 , $43 491,31 , $46 032,29 , $48 313,14 , $48 268,22 , $46 657,20 , $49 485,08 , $51 895,03 , $54 237,70 , $56 619,57 , $59 126,85 , $61 800,65 "
" United Kingdom , $45 053,49 , $41 177,83 , $40 349,87 , $43 063,74 , $42 416,60 , $40 394,13 , $46 200,26 , $50 879,45 , $52 730,91 , $55 160,08 , $57 857,40 , $60 613,93 "
" Israel , $35 822,86 , $37 341,60 , $40 790,93 , $42 079,34 , $43 965,66 , $44 181,17 , $49 840,25 , $52 504,19 , $54 444,87 , $56 247,48 , $57 972,97 , $59 647,13 "
" New Zealand , $38 200,04 , $39 426,72 , $42 334,70 , $42 839,82 , $42 210,23 , $41 164,58 , $48 348,99 , $51 706,90 , $53 795,62 , $55 273,04 , $56 739,21 , $58 293,30 "
" France , $37 918,77 , $38 332,68 , $40 053,62 , $43 021,38 , $41 989,67 , $40 298,85 , $45 028,27 , $47 952,13 , $49 974,95 , $51 873,76 , $53 661,16 , $55 393,83 "
" Japan , $35 005,66 , $39 411,42 , $38 903,30 , $39 818,80 , $40 689,79 , $40 088,60 , $40 704,30 , $43 118,83 , $46 138,06 , $48 159,22 , $50 047,52 , $51 797,33 "
" United Arab Emirates , $40 064,45 , $39 144,67 , $41 443,89 , $45 075,57 , $43 900,15 , $38 661,18 , $43 537,69 , $44 752,86 , $45 670,15 , $46 748,56 , $48 008,21 , $49 445,50 "
" Andorra , $38 877,49 , $39 595,32 , $40 017,74 , $42 229,90 , $40 688,49 , $36 630,55 , $40 417,27 , $42 713,08 , $44 321,89 , $45 773,99 , $46 863,75 , $47 842,56 "
" Taiwan Province of China , $22 752,99 , $23 070,73 , $25 061,62 , $25 825,57 , $25 935,90 , $28 358,30 , $33 401,71 , $36 227,09 , $38 396,98 , $40 749,60 , $42 801,84 , $44 978,60 "
" Malta , $25 228,18 , $25 960,31 , $29 340,93 , $32 237,26 , $31 865,84 , $28 955,29 , $31 996,53 , $34 554,04 , $37 121,43 , $39 791,21 , $42 350,42 , $44 765,02 "
" Korea, Republic of , $28 737,44 , $29 274,23 , $31 600,74 , $33 433,17 , $31 936,80 , $31 638,46 , $35 195,52 , $36 791,51 , $38 790,77 , $40 759,46 , $42 719,39 , $44 610,65 "
" Italy , $30 463,70 , $31 190,79 , $32 648,76 , $34 921,01 , $33 521,34 , $31 604,43 , $35 584,88 , $38 168,69 , $39 831,37 , $41 252,80 , $42 688,76 , $44 059,79 "
" Slovenia , $20 898,86 , $21 681,28 , $23 511,32 , $26 217,34 , $26 039,10 , $25 548,77 , $28 939,27 , $31 025,51 , $33 172,85 , $35 312,34 , $37 544,96 , $39 807,17 "
" Spain , $25 764,22 , $26 535,55 , $28 196,76 , $30 423,17 , $29 576,25 , $27 179,45 , $30 536,86 , $33 171,17 , $34 906,78 , $36 508,45 , $37 985,71 , $39 389,01 "
" Estonia , $17 403,81 , $18 290,29 , $20 430,57 , $23 074,04 , $23 400,47 , $23 035,91 , $27 100,74 , $29 735,02 , $32 045,97 , $34 459,54 , $36 886,02 , $39 383,24 "
" Puerto Rico , $29 755,35 , $30 585,55 , $31 347,27 , $32 789,06 , $32 785,94 , $32 645,40 , $34 143,27 , $35 106,44 , $35 939,72 , $36 693,81 , $37 518,20 , $38 414,45 "
" Cyprus , $23 428,72 , $24 692,50 , $26 580,49 , $29 300,33 , $28 487,98 , $26 784,89 , $29 486,28 , $30 995,78 , $32 875,53 , $34 495,44 , $36 206,53 , $38 034,16 "
" Bahamas, The , $32 648,64 , $32 565,04 , $33 191,21 , $34 094,37 , $34 575,62 , $25 734,16 , $27 437,20 , $30 584,62 , $32 368,22 , $34 008,96 , $35 092,86 , $36 069,75 "
" Czech Republic , $17 842,87 , $18 597,21 , $20 666,67 , $23 463,60 , $23 709,18 , $22 942,86 , $25 806,38 , $28 076,59 , $30 114,28 , $32 067,70 , $34 092,84 , $35 909,72 "
" Brunei Darussalam , $31 355,74 , $27 318,05 , $28 236,77 , $30 668,37 , $29 314,11 , $26 061,00 , $33 979,37 , $35 148,83 , $33 907,08 , $33 825,98 , $33 948,82 , $34 239,63 "
" Aruba , $27 126,62 , $27 036,93 , $27 897,42 , $28 727,94 , $29 505,34 , $22 483,49 , $25 700,87 , $27 955,24 , $30 008,08 , $31 056,40 , $31 841,69 , $32 627,18 "
" Portugal , $19 252,02 , $19 986,36 , $21 482,83 , $23 573,29 , $23 333,32 , $22 148,80 , $24 457,14 , $26 404,14 , $27 997,75 , $29 467,57 , $30 933,38 , $32 293,54 "
" Lithuania , $14 265,41 , $15 004,19 , $16 879,45 , $19 184,84 , $19 557,39 , $19 981,34 , $22 411,65 , $24 209,40 , $25 977,97 , $27 685,60 , $29 342,91 , $30 897,27 "
" Kuwait , $27 398,08 , $25 267,15 , $27 193,90 , $29 903,56 , $28 513,43 , $22 683,64 , $27 927,16 , $28 821,61 , $28 794,89 , $28 992,74 , $29 413,94 , $30 151,31 "
" Bahrain , $22 659,37 , $22 641,28 , $23 631,59 , $25 049,64 , $25 925,28 , $23 589,96 , $26 293,95 , $27 052,97 , $27 678,48 , $28 412,12 , $29 209,05 , $30 038,18 "
" Slovak Republic , $16 326,59 , $16 529,16 , $17 553,89 , $19 395,85 , $19 288,57 , $19 144,92 , $21 383,29 , $23 323,33 , $25 146,38 , $26 830,34 , $28 486,60 , $30 017,18 "
" Latvia , $13 722,08 , $14 253,04 , $15 613,44 , $17 799,83 , $17 739,47 , $17 549,30 , $19 538,90 , $21 489,13 , $23 135,10 , $24 723,87 , $26 383,31 , $28 009,86 "
" Hungary , $12 690,17 , $13 069,23 , $14 590,90 , $16 407,35 , $16 729,13 , $15 866,22 , $18 527,59 , $20 380,16 , $22 174,26 , $23 863,29 , $25 422,59 , $26 975,87 "
" Saudi Arabia , $21 063,32 , $20 288,90 , $21 113,96 , $23 538,94 , $23 173,84 , $19 995,70 , $23 762,42 , $24 224,38 , $24 371,81 , $24 683,31 , $25 093,98 , $25 698,57 "
" Greece , $17 997,40 , $17 879,71 , $18 578,29 , $19 769,33 , $19 147,46 , $17 657,10 , $19 827,16 , $21 155,31 , $22 314,03 , $23 393,11 , $24 491,86 , $25 534,64 "
" Poland , $12 563,61 , $12 438,52 , $13 868,91 , $15 468,26 , $15 726,88 , $15 699,30 , $17 318,50 , $19 055,72 , $20 561,52 , $22 052,31 , $23 691,58 , $25 412,12 "
" Seychelles , $14 786,12 , $15 199,21 , $16 180,94 , $16 143,37 , $16 389,25 , $11 701,89 , $13 140,37 , $17 706,04 , $19 463,21 , $21 089,79 , $22 897,99 , $24 945,34 "
" Croatia , $11 780,60 , $12 362,59 , $13 450,09 , $15 013,37 , $14 945,18 , $13 895,94 , $15 807,70 , $17 222,70 , $18 728,15 , $20 112,76 , $21 231,56 , $22 366,51 "
" Romania , $8 942,20 , $9 520,44 , $10 776,67 , $12 361,14 , $12 861,28 , $12 867,64 , $14 863,89 , $16 293,05 , $17 869,73 , $19 284,43 , $20 777,38 , $22 268,77 "
" Saint Kitts and Nevis , $17 654,13 , $18 397,05 , $19 144,10 , $19 269,74 , $20 602,48 , $17 173,24 , $16 917,16 , $18 728,92 , $19 655,86 , $20 336,16 , $21 004,13 , $21 773,21 "
" Barbados , $16 589,45 , $16 947,63 , $17 423,25 , $17 758,08 , $18 448,83 , $15 346,28 , $16 105,13 , $17 769,73 , $18 947,06 , $19 836,29 , $20 615,87 , $21 422,72 "
" Chile , $13 571,02 , $13 779,40 , $15 034,80 , $15 865,54 , $14 619,50 , $12 992,98 , $16 799,37 , $17 701,62 , $18 606,54 , $19 446,29 , $20 304,19 , $21 195,99 "
" Uruguay , $16 692,65 , $16 446,23 , $18 388,31 , $18 472,86 , $17 601,27 , $16 023,35 , $16 965,08 , $17 930,51 , $18 466,47 , $19 170,47 , $19 954,91 , $20 711,26 "
" Panama , $13 606,60 , $14 344,09 , $15 178,30 , $15 612,33 , $15 830,98 , $12 373,05 , $13 861,06 , $14 643,87 , $15 481,39 , $16 372,06 , $17 319,30 , $18 326,52 "
" Antigua and Barbuda , $14 696,89 , $15 556,01 , $15 655,23 , $16 860,96 , $17 451,55 , $13 967,33 , $14 117,84 , $15 196,34 , $16 137,47 , $16 950,96 , $17 633,72 , $18 228,01 "
" Trinidad and Tobago , $18 214,37 , $16 256,46 , $16 173,66 , $17 037,95 , $16 637,11 , $15 424,82 , $15 352,72 , $16 323,03 , $16 805,62 , $17 220,62 , $17 647,04 , $18 088,33 "
" Maldives , $11 781,03 , $12 348,71 , $13 201,45 , $14 476,59 , $15 148,80 , $9 888,65 , $11 899,09 , $13 550,91 , $15 223,42 , $16 169,69 , $17 104,02 , $18 081,88 "
" Oman , $16 570,74 , $14 834,59 , $15 482,13 , $17 338,96 , $16 529,39 , $14 255,09 , $17 632,65 , $18 226,55 , $17 888,76 , $17 750,79 , $17 741,89 , $17 903,92 "
" Palau , $16 408,16 , $16 776,84 , $16 028,19 , $16 328,65 , $15 725,08 , $14 731,70 , $11 835,18 , $13 602,82 , $15 695,71 , $16 414,20 , $17 017,28 , $17 566,78 "
" Guyana , $5 579,97 , $5 796,82 , $6 104,16 , $6 120,54 , $6 594,38 , $6 952,70 , $9 369,01 , $12 426,39 , $15 152,58 , $15 767,57 , $16 563,39 , $17 509,34 "
" China, People's Republic of , $8 034,29 , $8 063,45 , $8 760,26 , $9 848,95 , $10 170,06 , $10 511,34 , $11 891,20 , $12 990,01 , $14 040,08 , $15 141,55 , $16 295,35 , $17 492,96 "
" Bulgaria , $7 079,78 , $7 575,77 , $8 381,99 , $9 470,58 , $9 863,02 , $10 006,35 , $11 331,87 , $12 336,97 , $13 414,42 , $14 509,32 , $15 599,36 , $16 672,04 "
" Malaysia , $9 663,11 , $9 523,30 , $9 965,12 , $11 079,79 , $11 231,41 , $10 231,34 , $11 124,67 , $12 295,73 , $13 396,64 , $14 300,47 , $15 251,52 , $16 260,22 "
" World , $10 342,77 , $10 386,65 , $10 898,42 , $11 457,52 , $11 534,67 , $11 107,77 , $12 293,13 , $13 131,44 , $13 789,42 , $14 423,45 , $15 067,81 , $15 723,34 "
" Iran , $4 844,50 , $5 195,91 , $5 471,79 , $5 543,90 , $6 980,74 , $9 928,19 , $12 725,04 , $13 243,34 , $13 716,84 , $14 218,14 , $14 739,10 , $15 274,04 "
" Turkey , $10 973,59 , $10 891,19 , $10 628,90 , $9 508,00 , $9 145,77 , $8 610,03 , $9 406,58 , $9 863,96 , $10 922,67 , $12 110,44 , $13 445,84 , $14 906,40 "
" Costa Rica , $11 635,20 , $11 986,92 , $12 185,26 , $12 428,92 , $12 623,19 , $12 056,96 , $11 860,22 , $12 294,13 , $12 883,88 , $13 509,16 , $14 140,21 , $14 853,31 "
" Turkmenistan , $7 575,88 , $6 823,71 , $7 248,37 , $7 064,88 , $7 899,96 , $7 673,60 , $8 843,87 , $9 939,11 , $10 880,20 , $11 943,24 , $13 139,02 , $14 482,33 "
" Saint Lucia , $10 386,82 , $10 610,41 , $11 262,04 , $11 556,67 , $11 782,75 , $8 934,70 , $9 419,27 , $10 905,01 , $12 026,90 , $12 676,12 , $13 075,08 , $13 447,42 "
" Russian Federation , $9 257,94 , $8 723,52 , $10 724,00 , $11 261,71 , $11 516,60 , $10 115,35 , $11 273,24 , $11 664,62 , $12 024,44 , $12 450,98 , $12 908,40 , $13 398,98 "
" Mauritius , $9 258,56 , $9 681,42 , $10 485,01 , $11 205,90 , $11 088,78 , $8 618,60 , $8 681,61 , $9 437,50 , $10 308,72 , $11 281,78 , $12 274,92 , $13 291,62 "
" Serbia , $5 588,98 , $5 765,20 , $6 292,55 , $7 252,40 , $7 391,84 , $7 645,79 , $8 793,84 , $9 560,92 , $10 421,80 , $11 278,83 , $12 235,27 , $13 228,98 "
" Montenegro , $6 517,42 , $7 031,53 , $7 800,27 , $8 854,78 , $8 911,27 , $7 702,60 , $8 837,58 , $9 712,51 , $10 522,84 , $11 327,39 , $12 147,30 , $12 986,03 "
" Grenada , $9 096,54 , $9 628,26 , $10 152,83 , $10 466,81 , $10 608,38 , $9 130,37 , $9 575,34 , $10 194,01 , $10 878,13 , $11 568,88 , $12 117,26 , $12 658,32 "
" Kazakhstan , $10 435,17 , $7 662,01 , $9 186,71 , $9 749,07 , $9 750,43 , $9 071,30 , $10 144,68 , $10 510,36 , $11 104,66 , $11 656,71 , $12 103,15 , $12 647,70 "
" Mexico , $9 657,12 , $8 788,59 , $9 342,92 , $9 753,67 , $10 028,87 , $8 403,60 , $9 967,39 , $10 541,44 , $11 024,77 , $11 479,68 , $11 933,77 , $12 395,96 "
" Dominican Republic , $7 139,51 , $7 521,27 , $7 874,94 , $8 340,96 , $8 595,61 , $7 553,51 , $8 491,62 , $9 158,02 , $9 732,88 , $10 338,38 , $10 984,13 , $11 664,19 "
" Argentina , $14 895,32 , $12 772,87 , $14 618,33 , $11 786,43 , $10 054,02 , $8 571,94 , $9 929,15 , $10 448,39 , $10 189,26 , $10 337,88 , $10 723,00 , $11 129,62 "
" Dominica , $7 596,22 , $8 089,25 , $7 768,35 , $8 118,96 , $8 524,70 , $7 416,24 , $7 777,02 , $8 559,17 , $9 240,85 , $9 876,76 , $10 501,81 , $10 983,68 "
" Brazil , $8 846,48 , $8 757,31 , $9 978,09 , $9 194,15 , $8 935,76 , $6 822,56 , $7 741,15 , $8 464,33 , $9 102,21 , $9 800,05 , $10 371,90 , $10 922,30 "
" Nauru , $6 994,05 , $7 674,48 , $8 152,26 , $9 398,51 , $9 365,10 , $8 866,87 , $10 138,20 , $10 361,20 , $10 576,17 , $10 668,97 , $10 687,36 , $10 564,32 "
" Thailand , $5 837,81 , $5 995,21 , $6 596,22 , $7 293,89 , $7 816,23 , $7 187,86 , $7 808,66 , $8 356,18 , $8 791,91 , $9 316,65 , $9 869,30 , $10 441,09 "
" Gabon , $7 453,11 , $7 082,22 , $7 370,35 , $8 220,50 , $8 111,34 , $7 277,37 , $8 569,22 , $9 083,63 , $9 276,92 , $9 532,13 , $9 899,51 , $10 396,01 "
